Category,SubCategory,Type,Name,SegmentId,SegmentIdLong,Last Compute Day,Description
Instance,APAC,Analytics,All Converters APAC,MmxKn6WX,txrdxkqv9,2019-04-09,
Instance,APAC,Thiep,All media impressions APAC,Ml_RODx8,tw2rvjymm,2019-04-09,
Instance,APAC,Liem,All Non Converters APAC,MmxKSBld,txrdt5rsf,2019-04-09,
Instance,APAC,Analytics,All site visitors APAC,Mfq-uYNz,trjcmfp4l,2019-04-09,
"",,Insight,APAC_IQOS_FAQ_Site_Visitors_1x180,McKp8qXT,togo4lfmt,2019-04-09,
Personas,Australia,Analytics,AU_Analytics_1PD_Media-Exposure_Exposed_1x180,Ml1YZ6Eb,twxwajjxp,2019-04-09,
Personas,Hong Kong,Analytics,HK_Analytics_1PD_Media-Exposure_Exposed_1x180,Ml1Y_mdE,twxwgfb9i,2019-04-09,
"",,Test,JP_1PD_Campaign_Impressions,MYho7fyk,tk9ral3hy,2019-04-09,
"",,,JP_1PD_Iqos-JP_cart-abandoned_1x180,MZhAecY8,tl40kby56,2019-04-09,People who added to cart but not purchased over the past 180 days. Updated daily
"",,,JP_1PD_Iqos-JP_cart-abandoned_1x90,MUuMleq3,thxoawe9l,2019-04-09,People who added to cart but not purchased over the past 90 days. Updated daily
"",,Analytics,JP_1PD_IQOS-JP_IQOS 3 & Multi Purchasers_1x180,MV42aLJp,tiyhy8u7f,2019-04-07,
Conversion,Japan,Analytics,JP_1PD_IQOS.jp & ABS_Site-Visitor_Frequency_Allx180,MdOWj3U0,tpd29uq36,2019-04-09,
"",,Analytics,JP_1PD_IQOS.jp & Nokemuhara.jp_Site-Visitor_Frequency_Allx180,MXhBQAcU,tkdvsgo7q,2019-04-09,Those who visited both IQOS.jp and Nokemuhara.jp
Site Visitors,,Analytics,JP_1PD_nokemuhara.jp_Site-Visitor_Frequency_Allx180,MXVmpPtA,tj782nbgy,2019-04-09,
"",,,JP_1PD_Nokemuhara_Banner Click,MXg_yh62,tkdvdvhhk,2019-04-09,Who clicked Nokemuhara banner ads.
Media,Japan,Analytics,JP_1PD_Nokemuhara_Banner_Clicks_1x180,Mc5q0OlT,to3vzb981,2019-04-09,
Media,Japan,Analytics,JP_1PD_Nokemuhara_Banner_Clicks_2x180,Mc5t1jUu,to3wtih70,2019-04-09,
Media,Japan,Analytics,JP_1PD_Nokemuhara_Banner_Clicks_3+x180,Mc5vnZYd,to3xa95rj,2019-04-09,
"",,,JP_1PD_Nokemuhara_Banner_Impression,MXhAg0v1,tkdvk3lhj,2019-04-09,Who are exposed to No! Kemuhara Campaign.
Media,Japan,Analytics,JP_1PD_Nokemuhara_Banner_Impressions_1x180,Mcya06uX,to0a8oj6h,2019-04-09,
Media,Japan,Analytics,JP_1PD_Nokemuhara_Banner_Impression_11-50x180,Mc0YYfYk,to092tody,2019-04-09,
Media,Japan,Analytics,JP_1PD_Nokemuhara_Banner_Impression_2-5x180,McyctFiO,to0brfqxs,2019-04-09,
Media,Japan,Analytics,JP_1PD_Nokemuhara_Banner_Impression_51+x180,Mc0Y7ABi,to0977kr4,2019-04-09,
Media,Japan,Analytics,JP_1PD_Nokemuhara_Banner_Impression_6-10x180,MczG-bYj,to0nhn4ol,2019-04-09,
"",,Analytics,JP_1PD_Traffic Source_Yahoo!,MVnFw0j0,tipqllrwm,2019-04-09,
Campaign,,Analytics,JP_1PD_Valentine's Day 201901_Visitor_x90,MgRqg34X,tr2fkehz9,2019-04-09,Users who visited website from Valentine's Day Campaign
"",,Utm_campaign,JP_3.0 Launch Campaign,MUt0N1DF,thxhjhaaf,2019-04-09,"Traffic from utm_campaign which includes ""3.0"""
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Media-Exposure_NonExposed_1x180,MX4-Ods2,tkpo4xkug,2019-04-09,
Conversion,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Onsite-Behaviour_Converters Purchasers_1x15,MdMGgYsG,tpczaxoc4,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Onsite-Behaviour_Converters Purchasers_1x180,MX5nAbMH,tkp0f91sp,2019-04-07,
Conversion,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Onsite-Behaviour_Converters Purchasers_1x30,MdMOkHCX,tpc1jfcp1,2019-04-09,
Conversion,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Onsite-Behaviour_Converters Purchasers_1x30-15,MdMFydGQ,tpcy3rlsy,2019-04-09,
Conversion,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Onsite-Behaviour_Converters Purchasers_1x45,MdMOHJDb,tpc1ewk7x,2019-04-09,
Conversion,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Onsite-Behaviour_Converters Purchasers_1x45-30,MdMFRVKY,tpcyylhre,2019-04-09,
